title,str_keywords
Аналитик данных,"stats, данных, scipy, процесс, желание"
Data Engineer (senior) в Управление мастер данных,"аспект, бизнес, образование, умение, язык"
Python-разработчик (Middle+),"devops, инфраструктура, cd, ci, подход"
Разработчик PHP Moodle,"agile, стартапах, scrum, команда, go"
ML Engineer/Computer Vision Engineer,"ряд, сенсор, данными, преимущество, знание"
Middle Python-разработчик (IoT/Embedded),"нуль, код, способность, фреймворк, приложение"
Senior Kotlin/Java Developer,"интерес, кибербезопасности, передача, экосистема, безопасность"
Инженер систем мониторинга,"инженер, шаблон, администратор, мониторинг, создание"
Аналитик данных,"pyspark, решение, подход, задача, обработка"
Специалист / BIM мастер,"строительство, abbyy, finereader, microsoft, outlook"
Разработчик python,"lp, пакет, тип, nlp, оптимизация"
QA Engineer,"pl, highlighttext, автоматизация, java, тестирование"
Системный администратор Linux (проект Стройка),"запуск, контейнеризация, сопровождение, настройка, go"
Младший аналитик (стажер),"специальность, университет, физик, информатика, математика"
Middle Data Scientist (Классический ML),"модель, внедрение, статистика, алгоритм, обучение"
Системный инженер,"dns, ssh, сервис, http, применение"
DevOps Engineer,"puppet, ansible, протокол, инструмент, автоматизация"
Стажер Тестировщик QA (ручное и автотестирование Python),"пунктуальность, selenium, теория, ответственность, тестирование"
Backend Python-программист,"db, fast, mongo, pydantic, asyncio"
Middle Python developer,"архитектура, приложение, навык, год, разработка"
Junior Data Analyst,"powerbi, витрина, datalens, построение, плюс"
Аналитик данных (Customer Experience),"информатика, математика, статистика, метод, обучение"
Media Data Analyst (media research),"владение, point, визуализация, желание, excel"
Data Engineer,"cdc, debezium, kafkaconnect, объём, работа"
Junior Data Scientist,"закономерность, поиск, применение, метод, библиотека"
Биоинформатик в генетическую лабораторию,"learn, scikit, библиотеками, numpy, pandas"
Аналитик визуализации данных,"бизнес, анализа, эконометрика, презентация, процессов"
Начальник отдела информационной безопасности (в единственном числе),"perl, адресация, сервис, сеть, автоматизация"
Data Analyst (Аналитика Данных),"возможность, highlighttext, визуализация, код, анализ"
Junior Product Analyst,"анализ, аппарат, данных, статистика, основа"
Специалист по вибродиагностике,"matlab, вибродиагностика, открытость, порядочность, сигнал"
Младший инженер-программист (стажер),"bash, highlighttext, желание, скрипт, уровень"
Стажер по направлению «Управление проектами» в Сбер,"hard, science, skills, powerpoint, возможность"
Младший BI-аналитик,"заказчик, требования, результат, библиотека, бизнес"
Стажер iOS-Разработчик,"clean, swift, желание, архитектура, приложение"
Инженер-тестировщик,"цикл, этап, метод, тестирование, знание"
Тестировщик ПО/QA,"браузер, консоль, разработчик, веб, приложение"
Руководитель группы аналитики,"анализ, tableau, bi, обучение, бизнес"
Data Analyst,"экономика, юнит, seaborn, тест, проведение"
Senior Python Back-End Developer,"год, highlighttext, умение, разработка, python"
Специалист по машинному обучению (ML-инженер),"обучение, библиотеками, алгоритм, база, знание"
Middle Back-end developer (Новосибирск),"nuitka, траспайлером, работа, фреймворк, fastapi"
Java Developer (middle),"boot, spring, представление, код, фреймворк"
Администратор интернет-магазина,"бус, частность, css, html, php"
Аналитик данных,"умение, продажа, объём, аналитик, программа"
Заместитель руководителя отдела аналитики / аналитик,"намерение, tableau, bi, инструмент, excel"
Системный инженер в отдел практической информационной безопасности,"windows, server, hyper, виртуализации, оса"
"Стажер, Data Analyst / Data Scientist","деревья, рекурсия, часть, данных, структура"
Junior SQL developer / Разработчик баз данных,"обращение, файл, строка, бд, опыт"
Программист в VK Predict,"код, бэкенд, толерантность, дизайн, highlighttext"
Junior DevOps Engineer,"hashicorp, nomad, оркестратор, микросервисов, docker"
Старший аналитик данных в Dwelly (Великобритания),"diligence, due, агентство, момент, поглощение"
Специалист по искусственному интеллекту (Data Science),"информация, объём, библиотека, обработка, анализ"
Golang Developer (Москва),"необходимость, шаблоны, ооп, проектирование, структура"
Аналитик данных (команда Корпоративного развития),"внимание, деталь, база, принцип, работа"
Аналитик данных,"matplotlib, seaborn, scipy, mysql, библиотека"
BI-разработчик в команду Авито Работы,"вещь, слово, данные, коллега, исследование"
Фронтенд-разработчик в международный стартап по созданию бизнес-приложений на основе ChatGPT,"работа, стек, опыт, технология, принцип"
Аналитик данных,"pyodbc, sqlite, данные, таблица, процесс"
Инженер программных решений / DevOps,"ci, elk, nexus, plg, teamcity"
Нейрограф/специалист по нейросетям,"controlnet, executioncache, workflowexecutor, изображение, json"
Программист на Phyton,"программирование, готовность, сервер, область, основа"
QA engineer / Тестировщик,"микросервисов, функция, автотестов, интеграция, mongodb"
Бизнес-аналитик,"bpmn, kanban, нотация, описание, scrum"
QA-инженер,"selenide, selenium, автотестов, интерфейс, проведение"
Старший инженер-программист C++,"confluence, различными, сборка, система, работа"
Python developer (Чекаут доставки),"pydantic, построение, api, rest, принцип"
Python developer,"кандидат, flask, фреймворк, fastapi, знание"
Системный администратор Linux (DevOps),"протокол, сервер, администрирование, управление, система"
Python разработчик,"flask, mysql, база, postgresql, принцип"
Младший разработчик (стажер) Siebel CRM,"js, ооп, знакомство, субд, java"
Инженер-конструктор (инженер-программист),"ethernet, qt, rs, spi, uart"
Data/ELT - инженер_middle/senior,"hadoop, spark, vault, airflow, data"
Game (продуктовый) Analyst,"практика, гипотеза, процесс, способность, уровень"
Начинающий специалист Data Analyst & Prompt Engineer,"работа, данными, sql, анализ, опыт"
Python Engineer,"and, candidate, containerization, experienced, has"
Back End Developer,"django, deployment, development, integrating, years"
Программист (тестирование сетевого оборудования),"версия, контроль, архитектура, скрипт, написание"
Стажер-программист в ведущую IT-компанию,"способность, технология, java, программирование, язык"
Data Analyst (аналитик данных),"решение, принятие, аналитик, подход, задача"
Дежурный ИТ мониторинга,"аккуратность, внимательность, сбор, мониторинг, powershell"
Data Engineer,"оптимизация, интеграция, clickhouse, запрос, скрипт"
Python Backend-разработчик Junior,"aiohttp, разработка, flask, фреймворк, fastapi"
"QA mobile, Мобильное приложение для продавцов","appium, json, postman, ui, тест"
Системный администратор,"bd, encrypt, kvm, lamp, lets"
Разработчик цифрового двойника склада Java / Anylogic (Автоматизация складов с применением ИИ),"anylogic, верификация, эксперимент, сбор, разработка"
DevOps Engineer,"инфраструктура, чтение, документация, нуль, администрирование"
Программист-разработчик C++,"шейдерами, движок, опыт, проект, приложение"
Game Analyst (Midcore Games),"метрика, рынок, игра, объём, проект"
ML Engineer LLM,"взаимодействие, подразделениями, аналитик, команда, разработчик"
QA инженер (DBaaS),"сложность, автотестов, go, запрос, автоматизация"
Программист,"инициативность, желание, образование, highlighttext, работа"
Системный аналитик,"база, плюс, принцип, образование, sql"
BI разработчик,"dash, metabase, plotly, redash, datalens"
Аналитик проекта,"пользование, расчёт, методология, программа, excel"
DevOps / Site Reliability Engineer (SRE),"elastic, groovy, mongo, брокер, помощь"
Разработчик Mini-Apps для Telegram с опытом работы со смарт-контрактами TON,"блокчейн, проектов, язык, typescript, javascript"
Middle / Senior C# .Net developer,"net, работа, опыт, год, знание"
Backend-разработчик (Python/FastAPI),"docker, фреймворками, flask, веб, архитектура"
Backend python developer,"требование, данными, стек, умение, навык"
Python-разработчик,"наличие, проект, умение, год, highlighttext"
Junior Data analyst,"функционал, владение, формат, данных, объём"
Backend-разработчик,"laravel, psr, symfony, стандарт, cd"
Младший аналитик (управленческая отчетность),"алгоритмизация, обучаемость, системность, склонность, скорость"
Supply Chain Manager / Менеджер по логистике,"advantage, basic, be, competitive, confident"
Junior QA engineer,"qase, компьютер, интерфейс, автоматизация, тестирование"
Middle Backend-разработчик (Python),"фреймворк, приложение, django, опыт, владение"
Тестировщик ПО,"строка, фреймворками, опыт, автоматизация, тестирование"
Python разработчик,"паттерн, теория, код, применение, алгоритм"
Тестировщик (AI),"специфика, продукт, знание, преимущество, плюс"
Python-разработчик,"middle, apache, kafka, postgres, область"
DevOps-инженер (IT),"azure, gcp, aws, плюс, bash"
Директор центра анализа данных и ИТ-аудита,"аналитики, nosql, superset, качество, apache"
Product analyst/Продуктовый аналитик (Gamedev),"визуализация, данных, проведение, опыт, построение"
Junior Data analyst,"analyst, маркетплейс, junior, поиск, data"
Аналитик данных (BI),"аналитик, bi, инструмент, power, образование"
Python developer (Middle+/Senior),"mypy, poetry, pylint, toolset, rabbitmq"
Data Engineer,"scala, работа, airflow, apache, clickhouse"
Python-разработчик,"voip, миграция, год, проект, система"
Программист Python (внутренние проекты) / Python Developer (internal projects),"rabbitmq, очередь, сообщение, postgres, веб"
Junior Python-developer,"oop, patterns, design, git, sql"
Начинающий специалист,"любовь, преподавание, ребёнок, техника, наличие"
Golang-разработчик,"оркестрации, kubernetes, область, год, программирование"
Data Engineer,"dag, инженер, airflow, написание, уровень"
DevOps Engineer,"intermediate, позиция, kubernetes, плюс, уровень"
Инженер по ручному тестированию в команду Разработки программных продуктов,"lens, nodejs, postman, git, typescript"
Middle QA/тестировщик (BIOM),"пользователь, автоматизация, тестирование, образование, уровень"
Ведущий специалист по технической поддержке (Москва),"сложность, javascript, основа, написание, уровень"
Руководитель группы разработки / Head of Development (Web & Mobile),"high, qa, разработке, devops, продукт"
Python-разработчик,"данными, управление, запрос, обработка, написание"
Python Developer,"api, rest, приложение, образование, год"
Backend Developer (Python),"django, workflow, организация, график, framework"
Frontend-разработчик TypeScript React (middle/senior),"react, фулстек, роль, typescript, разработчик"
Аналитик Python,"справка, презентация, результат, clickhouse, numpy"
Front-end разработчик (React),"разработчик, использование, опыт, год, работа"
Системный администратор,"устройство, компьютер, работа, abbyy, ability"
Руководитель разработки / Head of Development,"область, наука, обеспечение, образование, год"
Маркетолог,"модель, преимущество, знание, анализ, умение"
Инженер по тестированию производительности,"http, строка, api, rest, использование"
Intern/Game Producer,"игра, сфера, готовность, обеспечение, желание"
Web-разработчик,"организованность, внимательность, деталь, ответственность, структура"
Менеджер продукта,"умение, цель, возможность, исследование, интеграция"
Python Backend Developer (Django),"итд, docker, git, решение, подход"
Специалист по защите информации,"навык, скрипт, разбор, linux, windows"
Координатор образовательного проекта,"компания, контрагент, оценка, переговоры, персонал"
Инженер технической поддержки ЦОД,"позиция, linux, windows, powershell, применение"
Middle Backend Developer (Python),"di, openapi, orm, websockets, коллекция"
Middle Python Developer (с DevOps-навыками),"drf, flask, mysql, mongodb, fastapi"
Python-разработчик (техническая поддержка пользователей),"инструкция, составление, пользователь, администрирование, запрос"
Менеджер по автоматизации аналитики,"моделирование, лояльность, процессов, процесс, программа"
ГИС-специалист / картограф/Инженер-программист,"geoserver, postgis, junior, средство, сфера"
Back-end разработчик Python,"фреймворка, год, веб, django, разработка"
Data Analyst,"хранилищами, аналитик, pandas, уровень, владение"
RPA-разработчик,"использование, ocr, документ, распознавание, внедрение"
SQL аналитик,"sas, средство, server, office, oracle"
Разработчик C++/Qt,"оптимизация, метод, sqllite, мат, разработка"
Data Scientist (Моделирование КМБ и СМБ),"llm, файнтюнинг, фреймворками, построение, работа"
Разработчик UE (Unreal Engine),"blueprints, движок, программирование, опыт, навык"
Middle/Senior Backend разработчик,"aiohttp, fast, web, framework, asyncio"
Python-разработчик,"оркестрации, kubernetes, область, год, программирование"
Специалист технической поддержки,"поддержки, трекинг, инцидент, работа, опыт"
Аналитик данных,"пользователей, отчёт, создание, бизнес, обработка"
QA инженер (офис в Якутске),"тестирование, ведение, вид, листов, чек"
IT Support Specialist,"experience, have, nice, parsers, passion"
Python-разработчик в SaaS-сервис «Культура аналитики»,"кэширование, асинхронность, очередь, framework, rest"
Специалист по внедрению и сопровождению программного обеспечения,"коммуникация, сеть, сервер, структура, администрирование"
Python-разработчик,"проектирование, подход, архитектура, год, разработка"
AI Developer,"in, and, expertise, langchain, language"
Python Middle developer,"парсинга, формат, redis, бд, clickhouse"
Go разработчик (Enterprise Manager),"assert, chi, cron, fx, gonkey"
Junior Python Developer,"of, experience, at, hands, interest"
Младший аналитик данных,"google, colab, github, sheets, особенность"
Junior Golang Developer,"cd, ci, java, опыт, программирование"
Аналитик данных,"power, prophet, pivot, query, numpy"
Аналитик данных (маркетинг),"анализ, сегментация, airflow, apache, данными"
Intern Economy Game Designer,"балансировка, дизайн, ms, создание, модель"
"Проектный менеджер по направлению инноваций, AI-технологий, цифровой трансформации","gigachat, powerpoint, office, word, ms"
Flutter-разработчик в стартап,"плюс, dart, postrgesql, flutter, стека"
Инженер-программист АСУ ТП,"кипиа, контроллер, электропривод, электротехника, оборудование"
Junior QA Engineer (Москва),"oracle, бд, знакомство, алгоритм, основа"
Аналитик данных / Data Analyst,"данных, highlighttext, наличие, структура, алгоритм"
Веб-разработчик Python/Web Developer Python,"область, фреймворк, база, разработка, данных"
Аналитик отдела планирования и экономического анализа,"логика, платформа, low, сценарий, знакомство"
Junior Data Scientist/MLE,"анализ, дисперсия, данных, гипотеза, библиотеками"
Android Developer (Highload),"android, kotlin, architecture, best, components"
Middle / Senior QA Engineer,"ios, navigation, android, design, and"
Системный аналитик (Junior),"code, esb, integrations, lang, lavarel"
Backend разработчик (Python FastAPI),"технология, pytest, офис, готовность, kafka"
Data Analyst (HR-аналитика),"вероятность, отбор, очистка, признак, подготовка"
Web разработчик,"проект, full, stack, достаточном, улучшение"
Аналитик в команду «Операционный аудит в канале ВСП»,"выражение, индекс, представление, процедура, таблица"
Data Analyst,"пользователь, matplotlib, pyspark, sklearn, scipy"
Python-разработчик (FastApi),"pydantic, библиотека, образование, год, работа"
Software Engineer,"kimep, nazarbayev, university, выпускник, etc"
Middle Python-разработчик (VPN-сервис),"aiogram, asyncio, опыт, год, разработка"
Data Scientist / Machine Learning Engineer / Аналитик данных,"внедрение, метод, модель, обучение, владение"
Data Engineer,"обработка, данных, использование, опыт, понимание"
Senior/Lead Data Analyst,"вывод, кросс, прогнозирование, команда, анализ"
Backend-разработчик,"timescaledb, субд, построение, postgresql, принцип"
Python разработчик,"dry, рсубд, solid, postgres, mysql"
Backend-разработчик (Python),"знание, библиотека, фреймворк, django, highlighttext"
Интерн тестировщик,"внимание, деталь, ответственность, основа, преимущество"
Node.JS Developer,"node, js, решение, задача, mongodb"
Разработчик Телеграм-ботов,"ml, бот, ответ, ui, настройка"
Аналитик,"qlik, отрасль, отчётность, superset, tableau"
Python developer middle,"developer, роль, субд, работа, образование"
DevOPS engineer (SRE),"автоматизация, golang, конфигурация, скриптинга, terraform"
Python Developer,"элемент, мышление, использование, уровень, опыт"
Руководитель проектного офиса и технической поддержки Финтеха (клиентский сервис),"сотрудник, информация, поддержка, проблема, работа"
Аналитик данных,"ga, gtm, доступ, сообщество, курс"
Backend Python Разработчик (работа в Новосибирске),"асинхронность, фреймворк, fastapi, работа, опыт"
NLP Engineer,"обучение, фреймворки, learn, scikit, библиотека"
Frontend-разработчик,"разработки, версия, контроль, веб, технология"
Программист Python,"степень, тренинг, язык, курс, программа"
Инженер -программист АСУ ТП,"fbd, iec, ld, st, связь"
Junior Python разработчик,"таск, трекер, scrum, pydantic, тест"
Python разрабочик,"разработка, опыт, использование, highlighttext, python"
DevOps инженер,"chef, iac, puppet, terraform, ansible"
Python-разработчик,"концепция, api, rest, принцип, знание"
Разработчик Департамента банковских карт,"процедура, анализ, доработка, модификация, устранение"
Руководитель направления разработки,"cto, lead, team, отдел, руководитель"
Аналитик SQL,"ad, исследование, помощь, office, point"
Дата аналитик,"mysql, база, postgresql, владение, год"
Python Backend Разработчик,"django, celery, студия, требование, highlighttext"
Python разработчик,"profet, sktime, xgboost, sklearn, sqlalchemy"
Специалист по работе с отчетностью,"power, формирование, навык, pivot, query"
Senior Frontend разработчик,"вёрстка, css, gitlab, html, версия"
Devops инженер,"программирование, js, паттерн, проектирование, навык"
Разработчик Node.js,"tcp, udp, недостаток, различие, понимание"
Python-разработчик (Старший/ Ведущий),"команда, пожелание, техлидом, численность, год"
Разработчик Python,"nosql, mongodb, запрос, база, postgresql"
Python-разработчик,"направление, команда, способность, желание, принцип"
QA-инженер (frontend),"снифферами, трафик, kotlin, typescript, сценарий"
DevOps-инженер,"astra, redos, развёртывание, linux, server"
Senior Java Backend Developer,"развитие, кейс, применение, стек, архитектура"
Системный администратор (ИСОГД),"имеете, вуз, ит, направление, администрирование"
Сервисный инженер (Сервера и СХД),"нагрузка, оборудование, безопасность, обеспечение, bash"
BI-аналитик,"отчёт, highlighttext, визуализация, создание, система"
Руководитель отдела технической поддержки,"коллектив, поставщик, услуга, человек, график"
Python-разработчик (стажер),"selenium, sqlalchemy, код, проект, numpy"
Python Back-end Разработчик (веб-сервисы) / Python Back-end Developer (web services),"highlighttext, проект, опыт, владение, год"
GTM Data Scientist Internship,"bi, ability, analytical, insights, into"
Разработчик C/C++,"система, стандарт, применение, bash, принцип"
Руководитель направления по автоматизации данных,"sql, фактор, pl, powerpoint, гипотеза"
QA тестировщик (Manual),"ооп, паттерн, автотестов, автоматизация, плюс"
Аналитик данных,"greenplum, стека, oracle, субд, библиотека"
DevOps-инженер,"cloud, yandex, администратор, aws, redis"
Backend-разработчик,"vilavi, здоровье, маркетинг, помощник, представитель"
Back-end разработчик (AI-ассистент),"mysql, java, postgresql, опыт, владение"
Digital аналитик,"bi, studio, google, data, обработка"
